	chebi id	chebi class	self defined super class
M_glutar_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_isetac_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_tcynt_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_tma_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_Ncbmpts_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_tre6p_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_pyr_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_agm_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_uaccg_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_peamn_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_gam6p_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_chor_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_eths_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_istnt_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_acgal1p_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_gal1p_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_uacgam_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_udpacgal_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_udpg_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_udpgal_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_udpglcur_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_g6p_B_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_QQQG_e	CHEBI:18233	xyloglucan	oligosaccharides
M_QLQG_e	CHEBI:18233	xyloglucan	oligosaccharides
M_QLLG_e	CHEBI:18233	xyloglucan	oligosaccharides
M_QQLG_e	CHEBI:18233	xyloglucan	oligosaccharides
M_GQQG_e	CHEBI:18233	xyloglucan	oligosaccharides
M_XAXX_e	CHEBI:28427	arabinoxylan	oligosaccharides
M_A23XX_e	CHEBI:28427	arabinoxylan	oligosaccharides
M_AXX_e	CHEBI:28427	arabinoxylan	oligosaccharides
M_XA23XX_e	CHEBI:28427	arabinoxylan	oligosaccharides
M_AX_e	CHEBI:28427	arabinoxylan	oligosaccharides
M_cell5_e	CHEBI:3523	cellodextrin	oligosaccharides
M_cell4_e	CHEBI:3523	cellodextrin	oligosaccharides
M_cell3_e	CHEBI:3523	cellodextrin	oligosaccharides
M_xylan4_e	CHEBI:60938	glucuronoxylan	oligosaccharides
M_xylan8_e	CHEBI:60938	glucuronoxylan	oligosaccharides
