medium	description	compound	name
M_P	Media + produced compounds in Marshland soil on PASC	hxa	Hexanoate (n-C6:0)
M_P	Media + produced compounds in Marshland soil on PASC	etha	Ethanolamine
M_P	Media + produced compounds in Marshland soil on PASC	enter	Enterochelin
M_P	Media + produced compounds in Marshland soil on PASC	ocdcea	Octadecenoate (n-C18:1)
M_P	Media + produced compounds in Marshland soil on PASC	12ppd__S	(S)-Propane-1,2-diol
M_P	Media + produced compounds in Marshland soil on PASC	cu2	Copper
M_P	Media + produced compounds in Marshland soil on PASC	ppap	Propanoyl phosphate
M_P	Media + produced compounds in Marshland soil on PASC	lys__L	L-Lysine
M_P	Media + produced compounds in Marshland soil on PASC	h	H+
M_P	Media + produced compounds in Marshland soil on PASC	ura	Uracil
M_P	Media + produced compounds in Marshland soil on PASC	succ	Succinate
M_P	Media + produced compounds in Marshland soil on PASC	4hbz	4-Hydroxybenzoate
M_P	Media + produced compounds in Marshland soil on PASC	cell3	Cellulose (n=3 repeating units)
M_P	Media + produced compounds in Marshland soil on PASC	glu__L	L-Glutamate
M_P	Media + produced compounds in Marshland soil on PASC	fe3	Iron (Fe3+)
M_P	Media + produced compounds in Marshland soil on PASC	thym	Thymine C5H6N2O2
M_P	Media + produced compounds in Marshland soil on PASC	spmd	Spermidine
M_P	Media + produced compounds in Marshland soil on PASC	acglu	N-Acetyl-L-glutamate
M_P	Media + produced compounds in Marshland soil on PASC	asp__D	D-Aspartate
M_P	Media + produced compounds in Marshland soil on PASC	gsn	Guanosine
M_P	Media + produced compounds in Marshland soil on PASC	ch4s	Methanethiol CH4S
M_P	Media + produced compounds in Marshland soil on PASC	ac	Acetate
M_P	Media + produced compounds in Marshland soil on PASC	cell5	Cellulose (n=5 repeating units)
M_P	Media + produced compounds in Marshland soil on PASC	glc__D	D-Glucose
M_P	Media + produced compounds in Marshland soil on PASC	pheme	Protoheme C34H30FeN4O4
M_P	Media + produced compounds in Marshland soil on PASC	fe2	Fe2+ mitochondria
M_P	Media + produced compounds in Marshland soil on PASC	inost	Myo-Inositol
M_P	Media + produced compounds in Marshland soil on PASC	fol	Folate
M_P	Media + produced compounds in Marshland soil on PASC	so4	Sulfate
M_P	Media + produced compounds in Marshland soil on PASC	mg2	Magnesium
M_P	Media + produced compounds in Marshland soil on PASC	hom__L	L-Homoserine
M_P	Media + produced compounds in Marshland soil on PASC	bz	Benzoate
M_P	Media + produced compounds in Marshland soil on PASC	ni2	Nickel
M_P	Media + produced compounds in Marshland soil on PASC	pnto__R	(R)-Pantothenate
M_P	Media + produced compounds in Marshland soil on PASC	na1	Sodium
M_P	Media + produced compounds in Marshland soil on PASC	ascb__L	L-Ascorbate
M_P	Media + produced compounds in Marshland soil on PASC	glyc	Glycerol
M_P	Media + produced compounds in Marshland soil on PASC	mn2	Manganese
M_P	Media + produced compounds in Marshland soil on PASC	ribflv	Riboflavin C17H20N4O6
M_P	Media + produced compounds in Marshland soil on PASC	cys__L	L-Cysteine
M_P	Media + produced compounds in Marshland soil on PASC	ind3ac	Indole 3 acetate C10H8NO2
M_P	Media + produced compounds in Marshland soil on PASC	pi	Phosphate
M_P	Media + produced compounds in Marshland soil on PASC	4abz	4-Aminobenzoate
M_P	Media + produced compounds in Marshland soil on PASC	mobd	Molybdate
M_P	Media + produced compounds in Marshland soil on PASC	nac	Nicotinate
M_P	Media + produced compounds in Marshland soil on PASC	acald	Acetaldehyde
M_P	Media + produced compounds in Marshland soil on PASC	glyclt	Glycolate C2H3O3
M_P	Media + produced compounds in Marshland soil on PASC	4hba	4-Hydroxy-benzyl alcohol
M_P	Media + produced compounds in Marshland soil on PASC	thm	Thiamin
M_P	Media + produced compounds in Marshland soil on PASC	nh4	Ammonium
M_P	Media + produced compounds in Marshland soil on PASC	fad	Flavin adenine dinucleotide oxidized
M_P	Media + produced compounds in Marshland soil on PASC	s	Sulfur
M_P	Media + produced compounds in Marshland soil on PASC	k	Potassium
M_P	Media + produced compounds in Marshland soil on PASC	ins	Inosine
M_P	Media + produced compounds in Marshland soil on PASC	mal__L	L-Malate
M_P	Media + produced compounds in Marshland soil on PASC	actn__R	 R  Acetoin C4H8O2
M_P	Media + produced compounds in Marshland soil on PASC	pydxn	Pyridoxine
M_P	Media + produced compounds in Marshland soil on PASC	pta	Pentanoate
M_P	Media + produced compounds in Marshland soil on PASC	mnl1p	D-Mannitol 1-phosphate
M_P	Media + produced compounds in Marshland soil on PASC	ala__D	D-Alanine
M_P	Media + produced compounds in Marshland soil on PASC	arg__L	L-Arginine
M_X	Media + produced compounds in Marshland soil on Xylan	5drib	5'-deoxyribose
M_X	Media + produced compounds in Marshland soil on Xylan	ribflv	Riboflavin C17H20N4O6
M_X	Media + produced compounds in Marshland soil on Xylan	cys__L	L-Cysteine
M_X	Media + produced compounds in Marshland soil on Xylan	cu2	Copper
M_X	Media + produced compounds in Marshland soil on Xylan	gua	Guanine
M_X	Media + produced compounds in Marshland soil on Xylan	pi	Phosphate
M_X	Media + produced compounds in Marshland soil on Xylan	4abz	4-Aminobenzoate
M_X	Media + produced compounds in Marshland soil on Xylan	xylb	Xylobiose
M_X	Media + produced compounds in Marshland soil on Xylan	oxa	Oxalate
M_X	Media + produced compounds in Marshland soil on Xylan	cl	Chloride
M_X	Media + produced compounds in Marshland soil on Xylan	ca2	Calcium
M_X	Media + produced compounds in Marshland soil on Xylan	4abutn	4-Aminobutanal
M_X	Media + produced compounds in Marshland soil on Xylan	cobalt2	Co2+
M_X	Media + produced compounds in Marshland soil on Xylan	zn2	Zinc
M_X	Media + produced compounds in Marshland soil on Xylan	ac	Acetate
M_X	Media + produced compounds in Marshland soil on Xylan	mobd	Molybdate
M_X	Media + produced compounds in Marshland soil on Xylan	h	H+
M_X	Media + produced compounds in Marshland soil on Xylan	met__D	D-Methionine
M_X	Media + produced compounds in Marshland soil on Xylan	ura	Uracil
M_X	Media + produced compounds in Marshland soil on Xylan	nac	Nicotinate
M_X	Media + produced compounds in Marshland soil on Xylan	acald	Acetaldehyde
M_X	Media + produced compounds in Marshland soil on Xylan	fald	Formaldehyde
M_X	Media + produced compounds in Marshland soil on Xylan	h2o	H2O H2O
M_X	Media + produced compounds in Marshland soil on Xylan	gcald	Glycolaldehyde
M_X	Media + produced compounds in Marshland soil on Xylan	succ	Succinate
M_X	Media + produced compounds in Marshland soil on Xylan	btn	Biotin
M_X	Media + produced compounds in Marshland soil on Xylan	xyl3	Xylotriose
M_X	Media + produced compounds in Marshland soil on Xylan	pacald	Phenylacetaldehyde
M_X	Media + produced compounds in Marshland soil on Xylan	12ppd__R	(R)-Propane-1,2-diol
M_X	Media + produced compounds in Marshland soil on Xylan	pheme	Protoheme C34H30FeN4O4
M_X	Media + produced compounds in Marshland soil on Xylan	fe2	Fe2+ mitochondria
M_X	Media + produced compounds in Marshland soil on Xylan	inost	Myo-Inositol
M_X	Media + produced compounds in Marshland soil on Xylan	fol	Folate
M_X	Media + produced compounds in Marshland soil on Xylan	lac__L	L-Lactate
M_X	Media + produced compounds in Marshland soil on Xylan	thm	Thiamin
M_X	Media + produced compounds in Marshland soil on Xylan	so4	Sulfate
M_X	Media + produced compounds in Marshland soil on Xylan	nh4	Ammonium
M_X	Media + produced compounds in Marshland soil on Xylan	mg2	Magnesium
M_X	Media + produced compounds in Marshland soil on Xylan	hom__L	L-Homoserine
M_X	Media + produced compounds in Marshland soil on Xylan	fum	Fumarate
M_X	Media + produced compounds in Marshland soil on Xylan	fmn	FMN C17H19N4O9P
M_X	Media + produced compounds in Marshland soil on Xylan	fe3	Iron (Fe3+)
M_X	Media + produced compounds in Marshland soil on Xylan	xyl__D	D-Xylose
M_X	Media + produced compounds in Marshland soil on Xylan	thym	Thymine C5H6N2O2
M_X	Media + produced compounds in Marshland soil on Xylan	spmd	Spermidine
M_X	Media + produced compounds in Marshland soil on Xylan	indole	Indole
M_X	Media + produced compounds in Marshland soil on Xylan	bz	Benzoate
M_X	Media + produced compounds in Marshland soil on Xylan	fad	Flavin adenine dinucleotide oxidized
M_X	Media + produced compounds in Marshland soil on Xylan	ni2	Nickel
M_X	Media + produced compounds in Marshland soil on Xylan	pnto__R	(R)-Pantothenate
M_X	Media + produced compounds in Marshland soil on Xylan	hxa	Hexanoate (n-C6:0)
M_X	Media + produced compounds in Marshland soil on Xylan	k	Potassium
M_X	Media + produced compounds in Marshland soil on Xylan	mal__L	L-Malate
M_X	Media + produced compounds in Marshland soil on Xylan	quin	Quinate
M_X	Media + produced compounds in Marshland soil on Xylan	actn__R	 R  Acetoin C4H8O2
M_X	Media + produced compounds in Marshland soil on Xylan	pydxn	Pyridoxine
M_X	Media + produced compounds in Marshland soil on Xylan	na1	Sodium
M_X	Media + produced compounds in Marshland soil on Xylan	pta	Pentanoate
M_X	Media + produced compounds in Marshland soil on Xylan	mnl1p	D-Mannitol 1-phosphate
M_X	Media + produced compounds in Marshland soil on Xylan	ascb__L	L-Ascorbate
M_X	Media + produced compounds in Marshland soil on Xylan	glyc	Glycerol
M_X	Media + produced compounds in Marshland soil on Xylan	ala__D	D-Alanine
M_X	Media + produced compounds in Marshland soil on Xylan	asp__D	D-Aspartate
M_X	Media + produced compounds in Marshland soil on Xylan	ocdcea	Octadecenoate (n-C18:1)
M_X	Media + produced compounds in Marshland soil on Xylan	xylan4	Xylan (4 backbone units, 1 glcur side chain)
M_X	Media + produced compounds in Marshland soil on Xylan	mn2	Manganese
M_X	Media + produced compounds in Marshland soil on Xylan	xylan8	Xylan (8 backbone units, 2 glcur side chain)
M_X	Media + produced compounds in Marshland soil on Xylan	ch4s	Methanethiol CH4S
