	chebi id	chebi class	self defined super class
M_uacgam_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_udpacgal_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_udpg_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_udpgal_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_udpglcur_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_ump_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_ura_e	CHEBI:39447	pyrimidines	nucleotides and derivatives
M_urate_e	CHEBI:26401	purines	nucleotides and derivatives
M_urea_e	CHEBI:47857	ureas	urea and urea derivatives
M_uri_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_val__D_e	CHEBI:33709	amino acid	amino acids and derivatives
M_val__L_e	CHEBI:33709	amino acid	amino acids and derivatives
M_vanln_e	CHEBI:33853	phenols	aromatic compounds
M_vanlt_e	CHEBI:33853	phenols	aromatic compounds
M_xan_e	CHEBI:26401	purines	nucleotides and derivatives
M_xmp_e	CHEBI:25608	nucleoside phosphate	nucleotides and derivatives
M_xtsn_e	CHEBI:33838	nucleoside	nucleotides and derivatives
M_xyl__D_e	CHEBI:35381	monosaccharide	simple sugars
M_xylb_e	CHEBI:36233	disaccharide	simple sugars
M_xylu__L_e	CHEBI:35381	monosaccharide	simple sugars
M_zn2_e	CHEBI:24835	inorganic ion	inorganic ions and atoms
M_15dap_e	CHEBI:88061	polyamine	polyamine
M_Ncbmpts_e	CHEBI:88061	polyamine	polyamine
M_chsterol_e	CHEBI:35341	steroid	steroid
M_co2_e	CHEBI:138675	gas molecular entity	gases
M_co_e	CHEBI:138675	gas molecular entity	gases
M_fusa_e	CHEBI:35341	steroid	steroid
M_g3pg_e	CHEBI:16247	phospholipid	lipids
M_peamn_e	CHEBI:22315	alkaloid	alkaloids
M_ptrc_e	CHEBI:88061	polyamine	polyamine
M_spmd_e	CHEBI:88061	polyamine	polyamine
M_udcpdp_e	CHEBI:16247	phospholipid	lipids
M_udcpp_e	CHEBI:16247	phospholipid	lipids
M_2mbald_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_4abutn_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_4hoxpacd_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_acald_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_actn__R_e	CHEBI:35681	secondary alcohol	alcohols and aldehydes
M_bhb_e	CHEBI:35681	secondary alcohol	alcohols and aldehydes
M_btoh_e	CHEBI:15734	primary alcohol	alcohols and aldehydes
M_bzal_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_cpgn_e	CHEBI:33892	iron coordination entity	cofactors
M_dhap_e	CHEBI:15734	primary alcohol	alcohols and aldehydes
M_dhptd_e	CHEBI:35681	secondary alcohol	alcohols and aldehydes
M_etha_e	CHEBI:15734	primary alcohol	alcohols and aldehydes
M_etoh_e	CHEBI:15734	primary alcohol	alcohols and aldehydes
M_fald_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_fe3hox_e	CHEBI:33892	iron coordination entity	cofactors
M_feenter_e	CHEBI:33892	iron coordination entity	cofactors
M_feoxam_e	CHEBI:33892	iron coordination entity	cofactors
M_glx_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_glyclt_e	CHEBI:15734	primary alcohol	alcohols and aldehydes
M_icit_e	CHEBI:35681	secondary alcohol	alcohols and aldehydes
M_malthp_e	CHEBI:50699	oligosaccharide (undefined)	oligosaccharides
M_malthx_e	CHEBI:50699	oligosaccharide (undefined)	oligosaccharides
M_maltpt_e	CHEBI:50699	oligosaccharide (undefined)	oligosaccharides
M_malttr_e	CHEBI:50699	oligosaccharide (undefined)	oligosaccharides
M_maltttr_e	CHEBI:50699	oligosaccharide (undefined)	oligosaccharides
M_manttr_e	CHEBI:50699	oligosaccharide (undefined)	oligosaccharides
M_meoh_e	CHEBI:15734	primary alcohol	alcohols and aldehydes
M_pacald_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_pheme_e	CHEBI:33892	iron coordination entity	cofactors
M_ppal_e	CHEBI:17478	aldehyde	alcohols and aldehydes
M_ppoh_e	CHEBI:15734	primary alcohol	alcohols and aldehydes
M_raffin_e	CHEBI:50699	oligosaccharide (undefined)	oligosaccharides
M_salcn_e	CHEBI:15734	primary alcohol	alcohols and aldehydes
M_sheme_e	CHEBI:33892	iron coordination entity	cofactors
M_xyl3_e	CHEBI:50699	oligosaccharide (undefined)	oligosaccharides
M_2ameph_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_2h3mp_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_2mba_e	CHEBI:33575	carboxylic acid	carboxylic acids and anions
M_2mpa_e	CHEBI:33575	carboxylic acid	carboxylic acids and anions
M_2obut_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_2pg_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_2pglyc_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_3hcinnm_e	CHEBI:33575	carboxylic acid	carboxylic acids and anions
M_3hpppn_e	CHEBI:33575	carboxylic acid	carboxylic acids and anions
M_3mba_e	CHEBI:33575	carboxylic acid	carboxylic acids and anions
M_3oxoadp_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_3pg_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_4abzglu_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_5g2oxpt_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_5mdru1p_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_5mtr_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_6apa_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_6hnac_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_6pgc_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_T4hcinnm_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_ac_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_acac_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_acgal1p_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_acgal_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_acgam1p_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_acgam_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_acmana_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_acmum_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_acnam_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_acon_C_e	CHEBI:33575	carboxylic acid	carboxylic acids and anions
M_ad_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_agm_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_akg_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_arbt6p_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_arbt_e	CHEBI:63299	carbohydrate derivative	carbohydrate derivatives
M_biliverd_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_bmn_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_but_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_bz_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_ch4s_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_chols_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_chor_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_cinnm_e	CHEBI:33575	carboxylic acid	carboxylic acids and anions
M_cit_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_creat_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_cynt_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_dms_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_dmso_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_eths_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_ethso3_e	CHEBI:33261	organosulfur compound	organosulfur compounds
M_f6p_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_for_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_frmd_e	CHEBI:35352	organonitrogen compound	organonitrogen compounds
M_fum_e	CHEBI:29067	carboxylic acid anion	carboxylic acids and anions
M_g1p_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_g3pe_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_g3pi_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
M_g6p_B_e	CHEBI:25710	organophosphorus compound	organophosphorus compounds
